12/09/2016 17:15:39: Starting 
12/09/2016 21:43:44: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:44:15: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:44:45: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:45:16: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:45:46: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:46:19: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:46:50: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:47:21: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:47:51: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:48:22: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:48:52: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:49:23: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:49:53: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:50:24: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:50:54: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:51:25: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 21:51:56: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:52:26: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:52:57: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:53:27: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:53:58: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:54:28: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:54:59: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:55:30: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:56:00: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:56:31: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:57:01: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:57:32: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:58:02: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:58:33: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:59:03: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 21:59:34: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:00:05: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:00:35: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:01:06: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:01:36: Temp: 20.0 C  Humidity: 95.0 % 
12/09/2016 22:02:07: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:02:37: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:03:08: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:03:38: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:04:12: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:04:42: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:05:13: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:05:46: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:06:16: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:06:47: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:07:17: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:07:48: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:08:18: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:08:49: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:09:20: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:09:50: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:10:21: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:10:51: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:11:24: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:11:57: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:12:28: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:12:59: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:13:29: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:14:00: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:14:30: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:15:01: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:15:34: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:16:04: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:16:35: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:17:06: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:17:36: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:18:07: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:18:37: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:19:08: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:19:41: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:20:11: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:20:42: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:21:13: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:21:43: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:22:16: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:22:47: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:23:17: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:23:48: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:24:21: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:24:51: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:25:22: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:25:53: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:26:23: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:26:54: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:27:24: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:27:55: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:28:25: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:28:56: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:29:26: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:29:57: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:30:30: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:31:01: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:31:31: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:32:02: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:32:32: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:33:03: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:33:33: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:34:04: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:34:35: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:35:05: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:35:36: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:36:06: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:36:37: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:37:07: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:37:38: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:38:08: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:38:39: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:39:10: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:39:43: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:40:13: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:40:49: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:41:19: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:41:50: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:42:21: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:42:51: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:43:22: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:43:52: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:44:23: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:44:53: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:45:24: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:45:54: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:46:27: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:46:58: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:47:29: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:47:59: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:48:30: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:49:00: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:49:31: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:50:01: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:50:32: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:51:02: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:51:36: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:52:06: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:52:37: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:53:10: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:53:40: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:54:11: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:54:41: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:55:12: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:55:43: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:56:13: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:56:44: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:57:17: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:57:47: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 22:58:18: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:58:51: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:59:22: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 22:59:52: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:00:23: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:00:54: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:01:24: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:01:57: Temp: 18.0 C  Humidity: 31.0 % 
12/09/2016 23:02:04: Email sent to admin 
12/09/2016 23:02:35: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:03:05: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:03:36: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:04:06: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:04:42: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:05:13: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:05:43: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:06:14: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:06:44: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:07:17: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:07:50: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:08:21: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:08:51: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:09:22: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:09:53: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:10:23: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:10:54: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:11:24: Temp: 19.0 C  Humidity: 95.0 % 
12/09/2016 23:11:55: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:12:25: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:12:56: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:13:26: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:13:57: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:14:28: Temp: 18.0 C  Humidity: 95.0 % 
12/09/2016 23:14:58: Temp: 18.0 C  Humidity: 95.0 % 
